ID_juge,completed,sex,selfDesc,annee,mois,level_studies,daltonisme,countries,hobby,freqexpo,date_connect,time_connect,validation,IP_vierge,commentaires
CAMO_2455_21294,yes,F,NA,1994,5,Doctorat_(Bac_+_8),no,Canada,souvent,An,22/10/21,05:11:16 PM,0,oui,NULL
CAMO_3378_21294,no,H,NA,1997,10,Maitrise_Master_DEA_DESS_Diplome_dingénieur_(Bac_+_4_ou_Bac_+_5),no,France,NULL,NULL,22/10/21,05:12:42 PM,0,oui,NULL
CAMO_3951_21294,yes,F,NA,1956,1,Doctorat_(Bac_+_8),no,franco,parfois,Mens,22/10/21,05:13:36 PM,0,oui,NULL
CAMO_8341_21294,yes,H,NA,1996,5,Doctorat_(Bac_+_8),yes,France,non,An,22/10/21,05:13:42 PM,0,oui,NULL
CAMO_9497_21294,yes,H,NA,1969,7,Doctorat_(Bac_+_8),no,France,non,An,22/10/21,05:14:37 PM,0,oui,NULL
CAMO_6839_21294,yes,F,NA,1993,12,Doctorat_(Bac_+_8),no,France,souvent,An,22/10/21,05:14:54 PM,0,oui,Je ne suis pas certaine d'avoir parfaitement réalisé l'expérience 2... Je n'ai pas compris si je devais attendre 8 secondes avant de cliquer sur la cible (et attendre que le rond jaune apparaîsse) ou non !!! j'ai tenté en cours de route de cliquer avant l'apparition du cercle jaune...
CAMO_6194_21294,yes,F,NA,1974,5,Doctorat_(Bac_+_8),no,France,parfois,An,22/10/21,05:19:33 PM,0,oui,NULL
CAMO_3013_21294,yes,H,NA,1998,6,Maitrise_Master_DEA_DESS_Diplome_dingénieur_(Bac_+_4_ou_Bac_+_5),no,France,parfois,An,22/10/21,05:22:28 PM,0,oui,NULL
CAMO_6629_21294,yes,F,NA,1982,10,Doctorat_(Bac_+_8),no,France,parfois,Jamais,22/10/21,05:23:05 PM,0,non,NULL
CAMO_1516_21294,yes,NB,NA,2000,NA,Doctorat_(Bac_+_8),no,Croatie,non,Mens,22/10/21,05:23:39 PM,0,non,NULL
CAMO_5242_21294,no,F,NA,1991,1,Doctorat_(Bac_+_8),no,France,NULL,NULL,22/10/21,05:28:51 PM,0,oui,NULL
CAMO_2306_21294,no,F,NA,1998,9,Maitrise_Master_DEA_DESS_Diplome_dingénieur_(Bac_+_4_ou_Bac_+_5),no,France,NULL,NULL,22/10/21,05:31:48 PM,0,non,double_attempt
CAMO_9846_21294,yes,F,NA,1994,3,Doctorat_(Bac_+_8),no,Irlande,non,Jamais,22/10/21,05:31:49 PM,0,oui,NULL
CAMO_346_21294,yes,F,NA,1998,9,Maitrise_Master_DEA_DESS_Diplome_dingénieur_(Bac_+_4_ou_Bac_+_5),no,France,souvent,An,22/10/21,05:38:03 PM,0,oui,double_attempt
CAMO_3890_21294,no,H,NA,1998,2,Maitrise_Master_DEA_DESS_Diplome_dingénieur_(Bac_+_4_ou_Bac_+_5),no,France,NULL,NULL,22/10/21,05:38:30 PM,0,oui,NULL
CAMO_8666_21294,yes,F,NA,1993,6,Graduate Degree ,no,Portugal,non,An,22/10/21,05:39:46 PM,0,oui,NULL
CAMO_1192_21294,yes,F,femme,1995,9,Licence_Licence-LMD_Licence_professionnelle_(Bac_+_3) ,no,France,parfois,An,22/10/21,05:41:22 PM,0,oui,NULL
CAMO_9316_21294,no,F,NA,1976,10,Doctorat_(Bac_+_8),no,France,NULL,NULL,22/10/21,05:42:50 PM,0,oui,NULL
CAMO_1331_21294,yes,H,NA,1997,11,Maitrise_Master_DEA_DESS_Diplome_dingénieur_(Bac_+_4_ou_Bac_+_5),no,France,parfois,An,22/10/21,05:57:49 PM,0,non,NULL
CAMO_4749_21294,yes,H,NA,1997,10,Maitrise_Master_DEA_DESS_Diplome_dingénieur_(Bac_+_4_ou_Bac_+_5),no,France,souvent,An,22/10/21,05:59:29 PM,0,oui,NULL
CAMO_7983_21294,yes,NA,NA,1988,3,Licence_Licence-LMD_Licence_professionnelle_(Bac_+_3) ,no,France,parfois,An,22/10/21,06:01:13 PM,0,non,NULL
CAMO_1022_21294,yes,F,NA,1980,9,Doctorat_(Bac_+_8),no,France,parfois,An,22/10/21,06:06:53 PM,0,oui,NULL
CAMO_5718_21294,yes,H,NA,1975,3,Graduate Degree ,yes,France,non,An,22/10/21,06:10:49 PM,0,oui,NULL
CAMO_5417_21294,yes,F,NA,1959,12,Doctorat_(Bac_+_8),no,France,souvent,An,22/10/21,06:15:57 PM,0,oui,NULL
CAMO_3886_21294,yes,H,NA,1997,5,Maitrise_Master_DEA_DESS_Diplome_dingénieur_(Bac_+_4_ou_Bac_+_5),no,France,parfois,An,22/10/21,06:16:58 PM,0,oui,NULL
CAMO_8243_21294,yes,H,cis,1997,6,Doctorat_(Bac_+_8),no,France,non,Jamais,22/10/21,06:23:49 PM,0,oui,NULL
CAMO_4965_21294,no,H,NA,1975,5,Graduate Degree ,no,United States of America,NULL,NULL,22/10/21,06:39:59 PM,0,oui,NULL
CAMO_8729_21294,yes,H,NA,1975,10,Graduate Degree ,no,United States of America,non,Mens,22/10/21,06:42:30 PM,0,oui,NULL
CAMO_5687_21294,yes,H,NA,1950,3,Doctorat_(Bac_+_8),no,France,non,An,22/10/21,06:50:23 PM,0,oui,NULL
CAMO_7033_21294,yes,F,NA,1965,10,Graduate Degree ,no,Finland,parfois,Mens,22/10/21,06:51:12 PM,0,oui,NULL
CAMO_6448_21294,yes,H,NA,1978,12,Graduate Degree ,no,United States of America,souvent,Mens,22/10/21,06:59:30 PM,0,oui,NULL
CAMO_5868_21294,yes,F,NA,1996,1,Maitrise_Master_DEA_DESS_Diplome_dingénieur_(Bac_+_4_ou_Bac_+_5),no,France,souvent,An,22/10/21,07:19:10 PM,0,oui,NULL
CAMO_1156_21294,yes,F,NA,1981,11,Graduate Degree ,no,Canada,parfois,Jamais,22/10/21,07:27:15 PM,0,oui,NULL
CAMO_4414_21294,yes,H,NA,1985,NA,Graduate Degree ,no,Canada,parfois,Jamais,22/10/21,07:42:31 PM,0,oui,NULL
CAMO_6549_21294,no,F,NA,1968,1,Doctorat_(Bac_+_8),no,France,NULL,NULL,22/10/21,07:43:35 PM,0,oui,NULL
CAMO_4663_21294,no,F,NA,1955,4,Doctorat_(Bac_+_8),no,France,NULL,NULL,22/10/21,07:50:58 PM,0,oui,NULL
CAMO_8546_21294,yes,F,NA,2002,6,High_School,no,Canada,parfois,An,22/10/21,08:01:07 PM,0,oui,NULL
CAMO_4017_21294,no,F,NA,1992,7,Graduate Degree ,no,United States of America,NULL,NULL,22/10/21,08:06:40 PM,0,oui,NULL
CAMO_7780_21294,yes,H,NA,1989,5,Licence_Licence-LMD_Licence_professionnelle_(Bac_+_3) ,no,France,parfois,An,22/10/21,08:19:04 PM,0,oui,NULL
CAMO_3548_21294,yes,F,NA,1991,8,Doctorat_(Bac_+_8),no,France,non,An,22/10/21,08:53:47 PM,0,oui,C'est peutêtre un problème de mon côté mais malgré une connexion satisfaisante la partie portant sur les préférences a mis une éternité à se charger. Ca peut être un critère dissuasif 
CAMO_6150_21294,yes,H,NA,1981,3,Graduate Degree ,no,United States of America,souvent,An,22/10/21,09:21:26 PM,0,oui,NULL
CAMO_6540_21294,yes,F,NA,1978,11,Graduate Degree ,no,United States of America,parfois,An,22/10/21,09:47:31 PM,0,oui,NULL
CAMO_7555_21294,yes,F,cis,1990,10,Graduate Degree ,no,United States of America,parfois,An,22/10/21,10:05:50 PM,0,oui,NULL
CAMO_6737_21294,yes,F,NA,1997,3,Maitrise_Master_DEA_DESS_Diplome_dingénieur_(Bac_+_4_ou_Bac_+_5),no,France,parfois,Jamais,22/10/21,10:19:41 PM,0,oui,NULL
CAMO_2175_21294,yes,F,NA,1977,5,Graduate Degree ,no,Canada,souvent,Mens,22/10/21,10:19:45 PM,0,oui,NULL
CAMO_4926_21294,no,F,NA,1972,7,Graduate Degree ,no,United States of America,NULL,NULL,22/10/21,10:20:37 PM,0,oui,NULL
CAMO_8194_21294,yes,F,NA,1967,11,Graduate Degree ,no,United States of America,parfois,An,22/10/21,10:30:38 PM,0,oui,NULL
CAMO_1090_21294,yes,F,NA,1969,10,Assoc_Degree_or_Bachelors_Degree,no,United States of America,non,An,22/10/21,10:31:57 PM,0,oui,NULL
CAMO_727_21294,yes,H,NA,1945,5,Graduate Degree ,no,United States of America,parfois,Mens,22/10/21,11:09:21 PM,0,oui,NULL
CAMO_799_21294,yes,F,NA,1952,4,Graduate Degree ,no,United States of America,parfois,Jamais,22/10/21,11:18:54 PM,0,oui,NULL
CAMO_4320_21294,yes,F,NA,1991,6,Graduate Degree ,no,United States of America,parfois,An,22/10/21,11:33:13 PM,0,oui,NULL
CAMO_9761_21294,yes,F,NA,1986,7,Doctorat_(Bac_+_8),no,Suisse,parfois,An,22/10/21,11:45:18 PM,0,oui,NULL
CAMO_5811_21294,yes,H,NA,1996,8,Graduate Degree ,no,United States of America,non,An,22/10/21,11:50:59 PM,0,oui,NULL
CAMO_4707_21294,yes,F,NA,1962,6,Graduate Degree ,no,United States of America,non,An,22/10/21,11:50:59 PM,0,oui,NULL
CAMO_9592_21294,yes,H,NA,1981,NA,Graduate Degree ,no,United States of America,souvent,An,22/10/21,11:54:05 PM,0,oui,NULL
CAMO_6851_21295,no,F,NA,1977,6,Assoc_Degree_or_Bachelors_Degree,no,United States of America,NULL,NULL,23/10/21,12:06:32 AM,0,oui,NULL
CAMO_5817_21295,yes,F,NA,1990,1,Graduate Degree ,no,United States of America,parfois,Jamais,23/10/21,12:19:39 AM,0,oui,NULL
CAMO_4400_21295,yes,H,NA,1993,8,Graduate Degree ,no,United States of America,parfois,An,23/10/21,12:35:32 AM,0,oui,NULL
CAMO_3695_21295,yes,H,NA,1990,10,Graduate Degree ,no,United Kingdom,parfois,An,23/10/21,01:12:06 AM,0,oui,NULL
